	Adipose.Tissue	Bladder	Brain	Colon	Esophagus	Heart	Kidney	Liver	Lung	Muscle	Nerve	Pancreas	Pituitary	Skin	Small.Intestine	Stomach	Esophagus.percent
EVPs in Urine122	0	0.516566858	0	0	0.469933875	0	0.037729736	0.000113226	0	0	0	6.89E-05	0	0	0.008023243	0	45.52%
EVPs in Urine123	0	0.291067588	0.007882834	0	0.360342171	0.001257382	0.084692612	0.002332894	0	0.001432592	0.00120369	0	0.000511933	0	0.063908485	0	44.23%
EVPs in Urine124	0	0.550613606	0	0.020580303	0.370917593	0	0.20764457	0.06178676	0	0.00024013	0	0.087114147	0	0	0.012945983	0	28.27%
EVPs in Urine125	0	0.512373959	0.000241958	0	0	0.000108596	0.095304743	0.000153096	0	0	0	4.52E-05	1.89E-05	0	0	6.04E-05	0.00%
EVPs in Urine13	0.207298655	0.561625893	0	0	0.226025105	0	0.178362657	0	0.075516959	0	0	0.09710982	0.034571116	0	0.031846099	0	16.00%
EVPs in Urine14	1.00097713	0.552403981	0.019620489	0.132872643	0.701366329	0.001343968	0.051696049	0.002904839	0	0.103394184	0.05551849	0.223966902	0.003247753	0.024129304	0.073838665	0	23.80%
EVPs in Urine15	0.136482283	0.523230298	0	0.083354871	0.515088693	0	0.124489001	0	0	0	0	0.077770895	0	0.00624954	0	0	35.12%
EVPs in Urine16	0.002924017	0.533871744	0.00103726	0.022379478	0.50872644	0	0.109227102	0.000340382	0	0.079137699	0.005957004	0	0	0.039675042	0.00601204	0	38.86%
EVPs in Urine17	1.214358225	0.570599996	0.347904466	0	0.213456743	0	0.134308055	0.041743593	0.014376289	0	0	0.180295152	0	0	0.008785434	0	7.83%
EVPs in Urine18	0	0.371255515	0	0	0.475420991	0	0.060437515	0.000136243	0	0	0.007203366	0	0	0	0.004703144	0	51.72%
EVPs in Urine19	0	0.530658617	0.06027993	0	0.545102528	0	0.150715457	0	0	0.000144259	0	0.086021462	0	0.014902713	0.004739242	0	39.14%
EVPs in Urine20	0	0.529799141	0.001444308	0	0.282993131	8.08E-05	0.124890206	0.000178176	0	0	0	0	0	0	0.019257626	0	29.52%
EVPs in Urine21	0	0.492764215	0	0	0.632149931	0	0.11634607	0	0	0	0	0.261823842	0	0	0.034409067	0	41.12%
EVPs in Urine22	0	0.505609737	0	0.201905048	0.333103866	0.331592588	0.106459789	0.000278509	0	0	0	0	0.148142568	0.00764018	0.055635096	0	19.71%
EVPs in Urine23	0.856789298	0.547719143	0	0.104043927	0.667591674	0	0.099071139	0	0	0.138998532	0	0.002042291	0	0	0.079219596	0	26.75%
EVPs in Urine24	0.687087407	0.586119823	0	0	0.413550062	0.003139986	0.173324805	0.014602001	0	0.417670526	0	0.022962315	0.014806248	0	0.121767829	0	16.85%
EVPs in Urine25	0	0.549822594	0	0	0.41414517	0	0.085367552	0	0.068183625	0	0	0	0	0	0	0	37.06%
EVPs in Urine26	0.960050744	0.584347549	0	0.02308914	0.538047404	0	0.135451453	0	0	0	0	0.118403968	0	0	0.048663714	0	22.34%
EVPs in Urine27	0	0.325555578	0	0.02080632	0.312309404	0	0.134646619	6.69E-06	0	0	0	0.165881076	0.017868048	0	0.034962064	0	30.86%
EVPs in Urine28	0.240831685	0.553952302	0.010769493	0.02600432	0.421647069	0	0.162044962	0.121977071	0.16788724	0	0	0	0.008442065	0	0.146082731	0	22.67%
EVPs in Urine29	0.278074626	0.571385157	0	0	0.537417033	0.030355864	0.187985431	0	0.356320012	0.027192277	0	0.129827431	0.123782663	0	0.033393617	0	23.62%
EVPs in Urine30	0.123729469	0.510993379	0	0	0.02079641	0	0.059036214	0	0	0	0	0	0	0	0	0	2.91%
EVPs in Urine31	0	0.524621228	0.003784578	0	0.394340836	0.000537237	0.071193332	0.001287017	0.007565498	0	0.000169353	0.000447328	0.0002359	0	0.037913898	0	37.84%
EVPs in Urine32	0	0.087244384	0	0	1.129982989	0	0	0	0	0	0	0	0	0	0.001658954	0	92.71%
EVPs in Urine33	0	0.539650255	0.122542741	0.136229382	0.495494426	0	0.13673178	0.000269202	0	0	0	0	0	0	0.109885217	0	32.16%
EVPs in Urine34	0	0.530025996	0.079389145	0	0.474121681	0.000420317	0.05513585	0.000910946	0	0	0	0.000286448	0	0	0.030960083	0	40.48%
EVPs in Urine35	0	0.00642859	8.93E-07	0	0	0.0001807	1.42E-05	0	0	2.16E-05	0	0	3.20E-05	2.51E-05	1.88E-06	0	0.00%
EVPs in Urine36	0	0.50878754	0	0.058156542	0.529024477	0.066162272	0.078198152	0	0	0.065072354	0	0	0	0	0.060981297	0	38.72%
EVPs in Urine37	0	0.514089598	0	0	0.695770406	0	0.128844941	0	0	0	0	0	0	0	0.042340874	0	50.38%
EVPs in Urine38	0	0.334519419	0.000665729	0	0.19504512	0	0.070290071	0.000309276	0	0	0	0	0	0	0.029940477	0	30.92%
EVPs in Urine39	0	0.167328336	0	0	0.812399136	0	0	0	0	0	0	0	0.000334243	0	0	0	82.89%
EVPs in Urine40	0	0.530073659	0.000517966	8.79E-05	0.467987922	0	0.091231766	0.000107937	0	0	0	0	0	0	0.00221719	0	42.85%
EVPs in Urine41	1.001077593	0.620967543	0.007405381	0.028472971	0.494073023	0.000157128	0.082123428	0.000175535	0	0.501805588	0.073496148	0.199898827	1.07E-05	0.010055981	0.046049454	0	16.12%
EVPs in Urine42	0	0.303508969	0	0.007744133	0.36347246	0	0.05248396	0.000128978	0	0	0	0	2.67E-05	0	0	0	49.97%
EVPs in Urine43	0	0.548398934	0.000529175	0.22249638	0.066058589	1.94E-05	0.118677363	0.000178388	0	0	0	0.000145697	0	0	0.219150336	0	5.62%
EVPs in Urine44	0.678817494	0.573557015	0	0.267363484	0.295708071	0	0.150601849	0	0	0	0	0	0.050188983	0	0.228437281	0	13.17%
EVPs in Urine45	0	0.513458492	0	0	0.441484988	1.27E-05	0.110314448	0.000118273	0	0	0	3.21E-05	0	0	0.000490422	0	41.42%
EVPs in Urine46	1.518187929	0.190180451	0	0	0.778616719	0	0.01215514	6.33E-05	0	0	0	0	0	0	0.002503944	0	31.12%
EVPs in Urine47	0.002378586	0.052214992	0.003329778	0	0.169439898	0.000263082	0.137265057	0.028014983	0	0.0004005	0	0	0.016908468	0	0.021157544	0	39.28%
EVPs in Urine48	0.415990644	0.279703172	0.024563094	0	0.505697239	0.000243324	0.106149524	0.000784117	0.025423971	0.001506069	0	0	0.000100285	0	0.002693279	0	37.11%
EVPs in Urine49	0	0.132565184	0	0	0.708720126	0	0	0.000384348	0.004315014	0	0	0	0.2637815	0	0	0	63.86%
EVPs in Urine50	0.570891631	0.252872781	0.325312292	0.282014318	0	0	0.005974828	0	0.062195164	0.342076055	0.018105326	0	0	0.040317228	0.158806477	0	0.00%
EVPs in Urine51	0	0.475430647	8.37E-05	0	0.532528402	0	0.072039043	0.220327012	0.252448211	0	0	0	0	0	0.024105186	0	33.77%
EVPs in Urine52	0.056539645	0.542810916	0	0	0.467157353	0	0.03204122	0	0	0	0	3.38E-06	0	0	0.007740489	0	42.23%
EVPs in Urine53	0	0.526069313	0.577427837	0.217505896	0.396116542	0	0.150706879	0	0	0	0	0.24144898	0	0	0.235193156	0	16.90%
EVPs in Urine54	0	0.524302865	0	0	0.496088042	0	0.156903643	0	0	0	0	0.334021896	0	0	0.007004094	0	32.67%
EVPs in Urine55	0	0.545029862	0	0.292646733	0.830525226	0	0.143111341	0	0.040870508	0	0	0	0	0	0.308699309	0.02225303	38.04%
EVPs in Urine56	0	0.551563952	0	0.015243505	0.667347754	5.82E-05	0.133058418	5.47E-05	0	0	0	0	0	0	0.175916871	0	43.24%
EVPs in Urine57	0	0.519059583	0.0008392	0	0.105321934	0.000174167	0.120316604	0.000342206	0	0	0	1.32E-06	4.36E-05	0	0.002299511	0	14.07%
EVPs in Urine58	0	0.530377223	0	0.007296068	0.709066262	0	0.222679863	6.41E-05	0	0	0	0	0	0	0	0	48.25%
EVPs in Urine59	0.008105556	0.533090205	0.028116317	0.016392741	0.366004908	0.00257242	0.141569465	0.001222964	0.002374029	0	0	0.000677543	0.02270439	0.060254664	0.042771046	0	29.86%
EVPs in Urine60	0	0.533076837	0.037013262	0	0.152778391	0.004163131	0.165283944	0.001299575	0.003233132	0	0	0.096538342	0.010452591	0.029300968	0.076114843	0	13.77%
EVPs in Urine61	0	0.519854118	0.090331061	0.285385212	0.470595069	0	0.130894064	0	0	0	0	0.259680787	0	0.015736634	0	0	26.55%
EVPs in Urine62	0	0.537662554	0	0.348225495	0.544132323	0.073977938	0.110514094	0	0	0	0	0.100735355	0	0.058568189	0.03732658	0	30.04%
EVPs in Urine63	0.051928944	0.554839677	0	0.342761352	0.431643947	0	0.188504494	0.183763348	0	0	0.154760842	0	0	0.015353686	0.346426042	0	19.02%
EVPs in Urine64	0	0.545071435	0	0.059177865	0.626502453	0	0.167105292	1.56E-05	0	0.206425032	0	0.047773614	0.05790698	0.020453256	0	0	36.20%
EVPs in Urine65	0	0.546645851	0	0.018640472	0.497113372	0.000190476	0.139208576	8.72E-05	0	0	0.003500885	0.022632322	0.019241286	0.028717765	0	0	38.96%
EVPs in Urine66	0	0.547465215	0.000722921	0.187985458	0.390241412	0	0.140474017	0.000340343	0	0.0006432	0	0.000140948	0	0	0.145060275	0	27.62%
EVPs in Urine67	0.008769491	0.550434033	0.005465789	0.173844635	0.817409605	0	0.125853773	0.00028953	0	0.037053834	0	0.016214225	0	0.110871637	0.161916971	0	40.71%
EVPs in Urine68	0.094342678	0.549038901	0	0.31108108	0.592043664	0.000316555	0.185616228	0.129643268	0	0	0	0.073862279	0	0	0.159231332	0	28.26%
EVPs in Urine69	0.003888727	0.514011776	0.002048732	0.235424701	0.325053497	0.003984607	0.083100137	0.001167762	0.00814486	0.003747968	0	0.001120939	0.037299011	0.036567023	0.222923717	0	21.99%
EVPs in Urine70	0.647989368	0.558455241	0	0.302166601	0.32494915	0	0.22756238	0.038837563	0	0	0	0.116354533	0	0	0.376320968	0	12.53%
EVPs in Urine71	0	0.540948405	0	0.328570469	0.403278469	0	0.223679414	0.000323523	0	0	0	0.000125491	0	0	0.237717974	0	23.25%
EVPs in Urine72	0.034331367	0.542169218	0	0.381454002	0.366196032	0	0.198010479	0	0	0	0	0.084564517	0	0	0.440984908	0	17.88%
EVPs in Urine73	0.011111276	0.534092705	0.01147952	0.236004316	0.288758933	0.000629642	0.134329491	0.001814058	0.006419882	0	0	0.044361937	0.192370679	0.041889853	0.244277305	0	16.52%
EVPs in Urine74	0.004133747	0.529028247	0	0	0.147151756	0.000460829	0.184400098	0.101883466	0	0	0	0.023994425	0.053896594	0	0.0541338	0	13.39%
EVPs in Urine75	0.033564396	0.545712927	0	0.305186413	0.640961755	0	0.176292552	0	0	0	0	0	0.005424472	0.031502821	0.166461507	0	33.64%
EVPs in Urine76	0	0.53333033	0.000640704	0.007431496	0.235844246	0	0.131175915	0	0	0	0	0.029027557	0	0	0	0	25.16%
EVPs in Urine77	0	0.537064548	0.001299521	0.015948829	0.838648583	0	0.108457727	3.02E-05	0	0	0	0.02836542	0	0.003085243	0	0	54.71%
EVPs in Urine78	0	0.503267533	0	0.302971	0.375956455	0.010295086	0.192753278	0.263515783	0.120013248	0	0	0.007384146	0.023751521	0	0.475843054	0	16.52%
EVPs in Urine79	0.008732791	0.551617836	0.012784328	0.228129786	0.425944812	0.00073466	0.141082478	0.002051468	0.008680866	0.062054869	0	0.02186779	0.02123578	0.041220341	0.161795443	0	25.23%
EVPs in Urine80	0	0.542584352	0.001852994	0.007486065	0.636926466	0	0.158932659	0.059381507	0	0.000674082	0	0.016384633	0	0.007318604	0.037101639	0	43.37%
EVPs in Urine81	0	0.492556069	0	0	0.578630776	0	0.222039617	0	0	0	0	0	0	0	0.005794241	0	44.54%
EVPs in Urine82	0.077283419	0.524950431	0.157880851	0	0.262281677	0	0.193149754	9.38E-05	0	0.000198514	0	1.17E-05	0	0	0.040112648	0	20.88%
EVPs in Urine83	0.401879112	0.557965664	0.00529877	0.047571513	0.648575185	7.33E-05	0.14094054	0.015286064	0	0.088394342	0	9.29E-05	4.93E-05	0.015814167	0.06452388	0.001742024	32.62%
EVPs in Urine84	0	0.527615098	0	0	0.838708322	0	0.212260248	0.115474655	0	0	0	0	0	0	0	0	49.51%
EVPs in Urine85	0	0.536911816	0.013270741	0.211224987	0.362197817	0.001084448	0.053457635	0.00235367	0.018088359	0	0	0.001895481	0.064465932	0.057056069	0.059664123	0	26.21%
EVPs in Urine86	0	0.533806857	0.000517632	0.006850852	0.387739263	0.003399971	0.181583618	0.000507145	0	0	0	0	0	0.026708974	0.002420318	0	33.91%
EVPs in Urine87	0	0.538135486	0.003333184	0.020659731	0.585625625	0.000221925	0.172486345	0.000499426	0	0	0	0.031357973	4.06E-05	0.047595726	0.007925903	0	41.60%
EVPs in Urine88	0.008268158	0.550163018	0.026093371	0.315078348	0.210827062	0.001586458	0.167411067	0.003179064	0.009503892	0.003733089	0.005392051	0.114222655	0.039306652	0.0364028	0.155842579	0	12.80%
EVPs in Urine89	0.54467171	0.553645899	0	0.198478844	0.505737289	0	0.139438616	0.254400702	0.013548458	0.000644063	0	0.194546321	0.085423465	0.039075269	0.064435739	0	19.50%
EVPs in Urine90	0.084652985	0.535986633	0.039299459	0	0.170588072	0.00045097	0.156881474	0.087515401	0	0	0.004357516	0.118189677	0.012150607	0.026984712	0.056808213	0	13.18%
EVPs in Urine91	0.184505229	0.556099426	0	0.224307768	0.388193155	0	0.137358032	0	0	0.11543694	0	6.74E-05	0.048498975	0	0.220388322	0	20.71%
EVPs in Urine92	0	0.544165949	0	0	0.831333745	0	0.132469721	8.62E-05	0	0.68299953	0	0	0	0	0.005160807	0	37.85%
EVPs in Urine93	0	0.509209007	0.003084346	0.003779453	0.595477164	1.44E-05	0.157921686	9.50E-05	0	0	0	0	0	0	0.00028497	0	46.89%
EVPs in Urine94	0.673774059	0.539624147	0	0.328717616	0.347130336	0	0.206054147	0.221779459	0.13928251	0	0	0	0.129190062	0.019449814	0.443259845	0	11.39%
EVPs in Urine95	0.007638761	0.535254515	0	0.159870183	0.552454011	0	0.136756492	0	0	0	0	0.107748767	0	0	0.140724815	0	33.68%
EVPs in Urine96	0	0.538204033	0.00663434	0.047978944	0.72151529	0.000102386	0.128292836	0.000331948	0	0	0	7.19E-05	0	0.019526715	0.001504863	0	49.28%
EVPs in Urine97	1.048300768	0.623705711	0	0.102471357	0.675641837	0	0.189625376	0	0	0	0	0.100825534	0	0.053667337	0.092645263	0	23.40%
EVPs in Urine98	0	0.459564644	0	0	0.456132424	0.000100864	0.102498982	0.000138661	0	0	0	8.62E-05	0	0	0.002251665	0	44.68%
EVPs in Urine99	1.247315683	0.578573846	0.103055327	0.185191991	0.811626377	0	0.133556669	0.000808936	0	0.001866465	0	0	0	0.014367647	0.121128106	0	25.38%
